,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
43,고창선운산 땡큐블루베리주,과실주,13.0,300,"블루베리과실,주정,효모,구연산,정제수",60000,200.0
44,공주애 오디와인,과실주,15.0,375,"국내산오디,정제수,주정,과당,효모",6000,16.0
45,구기홍주 14,약주,14.0,360,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",16000,44.44
46,구름을 벗삼아,탁주,6.0,750,"정제수,찹쌀·백미",1500,2.0
47,귀감,일반증류주,25.0,350,감귤과즙,25000,71.43
48,그랑꼬또 M56,과실주,12.0,750,포도,21000,28.0
49,그랑꼬또 M5610,과실주,10.0,750,포도,56000,74.67
50,그랑꼬또 레드와인,과실주,12.0,750,포도,35000,46.67
51,그랑꼬또 로제와인,과실주,12.0,750,포도,21000,28.0
52,그랑꼬또 청수,과실주,12.0,750,포도,60000,80.0
53,그랑꼬또 화이트와인,과실주,12.0,750,포도,40000,53.33
54,그랑티 그르 S1974,과실주,12.0,750,포도,40000,53.33
55,그랑티그르CE2002,과실주,12.0,750,포도,40000,53.33
56,그랑티그르M1988,과실주,12.0,750,포도,40000,53.33
57,금산인삼주,약주,12.5,375,"쌀,인삼,누룩,정제수등",12000,32.0
58,금정산성 막걸리,탁주,8.0,750,"백미,밀누룩,정제수,아스파탐",19000,25.33
59,기다림 16,탁주,9.0,750,찹쌀,11000,14.67
60,기다림 25,탁주,8.0,750,백미,9900,13.2
61,기다림 34,탁주,12.0,500,멥쌀,15000,30.0
62,기다림 맑은술,약주,15.0,500,멥쌀,25000,50.0
63,김천 과하주 23도,기타주류,23.0,700,"멥쌀,누룩,샘물,황국잎",22000,31.43
64,김천과하주 16도,약주,16.0,700,"찹쌀,누룩,샘물,황국잎",20000,28.57
65,김포별주,살균약주,13.0,500,"쌀,옥수수전분,국,효모,젖산,효소제,정제수",4000,8.0
66,김포약주 PET,살균약주,11.0,750,"옥수수전분,밀,국,효모,젖산,효소제,정제수",9000,12.0
67,김포약주 유리병,살균약주,11.0,750,"옥수수전분,밀,국,효모,젖산,효소제,정제수",10000,13.33
68,김포예주 프리미엄,살균약주,13.0,750,"국내산쌀,국,효모,젖산,정제수",15000,20.0
69,김포특주,약주,15.0,375,"국내산쌀,효모,정제효소,정제수,프락토올리고당",3000,8.0
70,까메오 막걸리,살균탁주,6.0,550,정제수,5000,9.09
71,나루 생막걸리 11.5%,탁주,11.5,500,쌀,11000,22.0
72,나루 생막걸리 6%,탁주,6.0,935,쌀,7000,7.49
73,남산애 레드와인,과실주,14.0,750,포도,45000,60.0
74,남산애 포트와인,과실주,18.5,750,포도,55000,73.33
75,내장산 복분자주 지통1호,과실주,16.0,700,"복분자,주정,정제수,설탕등",18000,25.71
76,녹고의눈물,기타주류,16.0,500,섬오가피,23000,46.0
77,녹파주,약주,15.0,375,"국내산찹쌀,멥쌀,누룩,정제수",35000,93.33
78,뉴트로,탁주,8.0,600,찹쌀,6000,10.0
79,느낌 19.8,증류식소주,19.8,360,백미,4000,11.11
80,느낌 30,증류식소주,30.0,360,백미,6500,18.06
81,느린마을 막걸리,탁주,6.0,750,"쌀,국,효모,정제수",2300,3.07
82,능이주,살균약주,13.0,375,"국내산쌀,능이농충액,누룩,정제수",12000,32.0
83,니모메,약주,11.0,375,쌀,36000,96.0
84,다래와인 3004,과실주,8.0,375,참다래,10000,26.67
85,다래와인 7004D,과실주,12.0,750,참다래,28000,37.33
86,다래와인 7004S,과실주,8.0,750,참다래,18000,24.0
87,다랭이팜 생 막걸리 (백미),탁주,6.0,750,"쌀,7분도유기농현미,누룩,효모등",4000,5.33
88,다랭이팜 생 막걸리 (흑미),탁주,6.0,750,"남해산유기농현미,누룩,효모등",4000,5.33
89,다랭이팜 유자 막걸리,탁주,6.0,750,"남해산유기농유자원액,누룩,효모등",4000,5.33
90,담솔 40%,리큐르,40.0,500,"정제수,국내산쌀,국내산송순농축액",22000,44.0
91,담양죽력고,일반증류주,25.0,350,"정제수,쌀",13000,37.14
92,담은,살균탁주,6.0,750,쌀,15000,20.0
93,당당하리,과실주,15.0,375,쌀,16000,42.67
94,대관령 복분자주,과실주,16.0,400,국내산복분자,13000,32.5
95,대대포 생막걸리,탁주,6.0,750,백미,3500,4.67
96,대윤 가야곡 왕주,약주,13.0,300,"쌀,누룩,효모,물엿,정제수",4000,13.33
97,대잎 생동동주,탁주,6.0,1700,쌀,2500,1.47
98,대작 생막걸리,탁주,6.0,750,쌀,2000,2.67
99,대통대잎술 십오야,약주,15.0,700,"쌀,누룩,갈근,구기자,솔잎,진피등",16000,22.86
100,도구 막걸리,탁주,6.0,750,밀,15000,20.0
101,도깨비술 11%,탁주,11.0,750,멥쌀,12000,16.0
102,도깨비술 7%,탁주,7.0,750,멥쌀,8000,10.67
103,도깨비술 9%,탁주,9.0,750,멥쌀,10000,13.33
104,도로시 머루주,과실주,12.0,500,"국내산산머루원액,주정",25000,50.0
105,도문대작 생막걸리,탁주,10.0,750,"강릉쌀,누룩,갯방풍나물,정제수",3000,4.0
106,독산 53,증류식소주,53.0,250,쌀,25000,100.0
107,동강더덕주,리큐르,20.0,360,"더덕,대추구기자,감초,원지",3500,9.72
108,동몽,약주,17.0,500,"홍천쌀,정제수,단호박,국",30000,60.0
109,동정춘,탁주,8.0,500,"쌀,누국,정제수",18000,36.0
110,동학 1957,청주,13.0,375,쌀,7200,19.2
111,동해 동동주,탁주,6.0,750,쌀,15000,20.0
112,두레앙 22,일반증류주,22.0,375,거봉포도원액,5000,13.33
113,두레앙 와인,과실주,12.0,750,거봉포도원액,15000,20.0
114,두레앙 증류주,일반증류주,35.0,750,거봉포도원액,35000,46.67
115,두리향,증류식소주,43.0,500,"국내산찹쌀,누룩,정제수",36000,72.0
116,두유노,탁주,6.0,600,찹쌀,6000,10.0
117,라이스퐁당 13,약주,13.0,500,찹쌀,15000,30.0
118,라이스퐁당 17,약주,17.0,500,찹쌀,18000,36.0
119,레돔 내추럴 스파클링 로제와인,과실주,7.5,750,포도,38000,50.67
120,레돔 시드르,과실주,6.0,750,사과,32000,42.67
121,려(驪)고구마증류소주 25도,증류식소주,25.0,500,고구마,35000,70.0
122,려(驪)고구마증류소주 40도,증류식소주,40.0,500,고구마,35000,70.0
123,려(驪)증류소주 25도,증류식소주,25.0,375,고구마,30000,80.0
124,로얄 안동소주 18년,증류식소주,45.0,600,"국내산쌀,입국",72000,120.0
125,르깔롱,리큐르,16.0,500,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라",35000,70.0
126,마셔블랑,일반증류주,12.0,750,감귤과즙,20000,26.67
127,마주 소곡주,약주,16.0,500,찹쌀,17000,34.0
128,막시모40,일반증류주,40.0,500,오미자,49000,98.0
129,만강에 비친 달,탁주,10.0,500,"홍천쌀,정제수,단호박,곡자",12000,24.0
130,맑은 문희주,약주,13.0,750,유기농찹쌀,36000,48.0
131,맑은내일 Winery 단감명작,과실주,7.0,750,단감,20000,26.67
132,맑은내일 발효막걸리,탁주,7.0,750,쌀,6500,8.67
133,맑은내일 우포,살균약주,12.0,325,쌀,7000,21.54
134,맑은술 해밀,약주,15.0,500,"쌀,누룩,정제수",25000,50.0
135,매실 막걸리,살균탁주,7.0,750,"쌀,매실과즙",3500,4.67
136,매실원주 15도,리큐르,15.0,300,"매실주원액,발효주정,정제수,꿀",6000,20.0
137,매실향기 담은 술,약주,14.0,500,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",6000,12.0
138,머루 이야기,과실주,12.0,375,국내산산머루,6000,16.0
139,머르드 서 드라이,과실주,13.5,750,국내산산머루,35000,46.67
140,머르드 서 스위트,과실주,12.0,750,국내산산머루,30000,40.0
141,메로니아,기타주류,4.0,750,"쌀,국,효모,젖산,멜론향,물엿등",2000,2.67
142,메밀로,일반증류주,45.0,500,"국내산쌀,메밀,누룩,정제수",150000,300.0
143,면천두견주 360ml,약주,18.0,360,"국내산찹쌀,누룩,진달래꽃",32000,88.89
144,면천두견주 700ml,약주,18.0,700,"국내산찹쌀,누룩,진달래꽃",30000,42.86
145,면천두견주 900ml,약주,18.0,900,"국내산찹쌀,누룩,진달래꽃",120000,133.33
146,명술,리큐르,20.0,375,"산양산삼,정제주,주정",30000,80.0
147,명인 홍삼주,약주,12.5,375,"쌀,홍삼,누룩,정제수등",12000,32.0
148,명작복분자,과실주,13.0,375,"복분자,효모,주정,정제수,과당,구연산",78000,208.0
149,명품 진도홍주,일반증류주,38.0,375,"쌀,보리,누룩,지초,정제수",20000,53.33
150,모월 로,증류식소주,25.0,500,쌀,25000,50.0
151,모월 연,약주,13.0,500,쌀,18000,36.0
152,모월 인,증류식소주,41.0,500,쌀,40000,80.0
153,모월 청,약주,16.0,500,쌀,21000,42.0
154,모을동주 소주,증류식소주,43.0,350,쌀,15000,42.86
155,모을동주 약주,약주,13.0,375,쌀,13000,34.67
156,무주 구천동 머루와인,과실주,12.0,750,국내산산머루,25000,33.33
157,무주 구천동 산머루주,과실주,16.0,750,국내산산머루,15000,20.0
158,문경바람 백자 25%,일반증류주,25.0,750,사과,30000,40.0
159,문경바람 백자 40%,일반증류주,40.0,750,사과,40000,53.33
160,문경바람 오크,일반증류주,40.0,750,사과,44000,58.67
161,문배술 헤리티지 23도,증류식소주,23.0,375,"메조,찰수수,쌀",50000,133.33
162,문희 '문경오미자 수제 전통주',살균탁주,12.0,700,햇찹쌀,21000,30.0
163,문희 (햇찹쌀수제전통주) 700ml ,살균탁주,13.0,700,유기농찹쌀,18000,25.71
164,문희 (햇찹쌀수제전통주) 500ml ,살균탁주,13.0,500,유기농찹쌀,15000,30.0
165,미르25,증류식소주,25.0,375,쌀,18000,48.0
166,미르40,증류식소주,40.0,375,쌀,23000,61.33
167,미생 막걸리,탁주,6.0,750,"국내산쌀,누룩,효모,정제효소,정제수",1100,1.47
168,미소 생막걸리,탁주,7.0,750,쌀,1500,2.0
169,미소 아이스,과실주,12.0,375,"포도,산화방지제,효모등",40000,106.67
170,미인약주,약주,15.0,500,"찹쌀,누룩,정제수",25000,50.0
171,미인탁주,탁주,10.0,500,"찹쌀,누룩,정제수",15000,30.0
172,민속주 안동소주 600ml,증류식소주,45.0,600,쌀,28000,46.67
173,민속주 안동소주 800ml,증류식소주,45.0,800,쌀,33500,41.88
174,민속주 안동소주 400ml,증류식소주,45.0,400,쌀,28000,70.0
175,바나나 주,기타주류,4.0,750,"쌀,국,정제수,바나나농축액,조제종국,효모,물엿등",1700,2.27
176,바랑 탁,탁주,15.0,375,찹쌀,18000,48.0
177,밤꽃향기,약주,13.5,375,"국내산쌀,밤,누룩,정제수",4000,10.67
178,방문주 약주,약주,15.0,500,"국내산찹쌀,누룩,정제수",7000,14.0
179,방문주 탁주,탁주,15.0,500,"국내산찹쌀,누룩,정제수",6000,12.0
180,배꽃담은 연 생막걸리,탁주,10.0,720,"국내산쌀,누룩,효모,젖산,연잎,정제수",20000,27.78
181,배도가 로아 19 레드,일반증류주,19.0,350,사과,10000,28.57
182,배도가 로아 40도 옐로우,일반증류주,40.0,350,쌀,20000,57.14
183,백년향,탁주,10.0,500,"국내산쌀,누룩,정제수",33000,66.0
184,백련 맑은술,약주,12.0,375,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",7000,18.67
185,백련 생막걸리 snow,탁주,6.0,750,"백미,연잎,정제수,종국,효모,아스파탐,물엿등",1600,2.13
186,백운 복분자 와인,기타주류,11.0,360,"쌀,토종복분자과즙",7000,19.44
187,백운 복분자주,기타주류,13.0,360,"쌀,토종복분자과즙",7000,19.44
188,백이주,과실주,35.0,800,쌀,30000,37.5
189,백자주,탁주,10.0,500,"국내산찹쌀,멥쌀,잣,누룩,정제수",18000,36.0
190,뱅꼬레 레드와인,과실주,12.0,375,양조용포도,25000,66.67
191,뱅꼬레 로제와인,과실주,11.5,375,양조용포도,23000,61.33
192,뱅꼬레 아이스와인,과실주,12.0,375,양조용포도,90000,240.0
193,뱅꼬레 화이트와인,과실주,11.0,375,양조용포도,23000,61.33
194,베베마루 캠벨로제 스위트,과실주,10.0,375,포도,20000,53.33
195,베베마루 캠벨로제,과실주,12.0,375,포도,20000,53.33
196,별바랑,약주,17.5,375,찹쌀,27000,72.0
197,병영설성 동동주,탁주,6.0,1700,쌀,2500,1.47
198,병영설성 생막걸리,탁주,6.0,750,쌀,3500,4.67
199,병영설성사또,일반증류주,40.0,700,쌀,40000,57.14
200,병영소주,증류식소주,40.0,700,"정제수,보리증류식소주원액",59400,84.86
201,복분자 아락,일반증류주,40.0,500,복분자증류원액,40000,80.0
202,복분자음,과실주,12.0,375,복분자,6000,16.0
203,복분자주 360,과실주,16.0,360,"복분자,주정,정제수,설탕등",6000,16.67
204,복순도가 손 막걸리,탁주,6.5,935,쌀,12000,12.83
205,복숭아와인,과실주,12.0,500,복숭아,20000,40.0
206,볼빨간막걸리 10,탁주,10.0,500,찹쌀,7000,14.0
207,볼빨간막걸리 7,탁주,7.0,500,찹쌀,5000,10.0
208,봉하쌀 생막걸리,탁주,6.0,750,쌀,2000,2.67
209,부안 참뽕 막걸리,살균탁주,6.0,950,쌀,2000,2.11
210,부안 참뽕 와인,과실주,13.0,750,오디,18000,24.0
211,부자 10,살균탁주,10.0,375,"쌀,정제수,고과당,효모등",5000,13.33
212,불소곡주,리큐르,43.0,700,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",30000,42.86
213,붉은 원숭이,살균탁주,10.8,375,쌀,7000,18.67
214,블루베리 이야기,과실주,12.0,375,"국내산산머루,블루베리",6000,16.0
215,사과와인,과실주,12.0,500,사과,20000,40.0
216,산내울 복분자주,리큐르,16.0,750,"복분자,설탕,주정,정제수,과당",20000,26.67
217,산내울 사과애주,리큐르,16.0,750,"사과,설탕,주정,정제수,과당",14000,18.67
218,산내울 오미자주,리큐르,16.0,750,"오미자,설탕,주정,정제수,과당",20000,26.67
219,산막 생유 막걸리,탁주,6.0,750,"국내산쌀,소맥분,종국,효모",1200,1.6
220,산막대덕주,약주,13.0,600,"국내산쌀,우리밀누룩",20000,33.33
221,산정호수 동정춘막걸리,탁주,6.0,720,"국내산쌀,누룩,정제수",20000,27.78
222,삼선,탁주,10.0,500,"국내산쌀,누룩,정제수",15000,30.0
223,삼양춘 생약주,약주,15.0,500,"강화섬쌀,전통누룩,정제수",20000,40.0
224,삼양춘 생탁주,탁주,12.5,500,"강화섬쌀,전통누룩,정제수",12000,24.0
225,삼양춘 청주,청주,15.0,500,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모",16800,33.6
226,생 청주 막걸리,탁주,6.0,750,"쌀,소맥분,국,조제종국,효모,물엿등",1500,2.0
227,샤토미소 랑,과실주,12.0,375,청포도,20000,53.33
228,샤토미소 레드 프리미엄 드라이,과실주,13.0,750,포도,40000,53.33
229,샤토미소 스위트,과실주,12.0,750,"포도,산화방지제,효모,설탕등",20000,26.67
230,샤토미소 스위트 로제,과실주,12.0,375,"포도,산화방지제,효모,설탕등",20000,53.33
231,샤토미소 영동,일반증류주,40.0,200,포도,30000,150.0
232,샹스프랑보아즈,과실주,13.0,500,복분자,150000,300.0
233,서울의 밤,리큐르,25.0,375,"매실증류주원액,벌꿀,포도당,노간주나무열매,정제수",7500,20.0
234,서주 16%,약주,16.0,400,백미,45000,112.5
235,석로주,약주,13.0,720,"국내산쌀,석이버섯,누룩,효모,정제수",34000,47.22
236,석탄주 약주,약주,15.0,500,"국내산찹쌀,누룩,정제수",7000,14.0
237,석탄주 탁주,탁주,15.0,500,"국내산찹쌀,누룩,정제수",6000,12.0
238,선운산 복분자와인,과실주,13.0,300,복분자,6000,20.0
239,선운산 복분자주 프리미엄,과실주,19.0,700,복분자,40000,57.14
240,선운산의 아침 복분자막걸리,살균탁주,6.0,750,"복분자,쌀,효모,국,과당,구연산,젖산,정제수",28000,37.33
241,선호 생막걸리,탁주,6.0,750,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수",1700,2.27
242,설레온,증류식소주,40.0,375,"쌀,누룩,효모,정제수",20000,53.33
243,설련주,약주,16.0,750,"백련,찹쌀,멥쌀,누룩",35000,46.67
244,설성 만월 막걸리(유기농쌀 100%),탁주,8.0,750,"정제수,유기농쌀국내산,누룩,유기농올리고당등",4000,5.33
245,설하담,탁주,8.0,950,"국내산멥쌀,개량누룩,정제수,이산화탄소",7400,7.79
246,성포 생막걸리,탁주,6.0,750,쌀,1100,1.47
247,세우리,일반증류주,45.0,700,"산양삼,하수오,구기자,쌀",250000,357.14
248,세종 알밤주,기타주류,6.0,750,"정제수,백미,소맥분,알밤",1500,2.0
249,세종 오가닉,살균약주,13.0,375,"정제수,유기농백미,국,효모,정제효소,구연산",9000,24.0
250,세종대왕어주 약주,약주,15.0,500,쌀,25900,51.8
251,세종대왕어주 탁주,탁주,13.0,500,쌀,16900,33.8
252,소백산 검은콩 막걸리,탁주,6.0,1500,"백미,소맥분,검은콩,검은깨등",3000,2.0
253,소백산 생 막걸리,탁주,6.0,1700,"쌀,정제수,소맥분,입국,효모등",1980,1.16
254,소백산 생 만찬주,탁주,6.0,750,"정제수,쌀,소맥분,입국,효모,아스파탐등",1200,1.6
255,소백산 청 동동주,약주,10.0,1700,"쌀,소맥분,누룩,주정,고과당,대추등",3000,1.76
256,소양강 생 막걸리,탁주,6.0,750,"백미,소맥분,정제수,팽화미,아스파탐,물엿,정제수",1200,1.6
257,솔송주,살균약주,13.0,375,"정제수,백미",7000,18.67
258,송명섭 막걸리,탁주,6.0,900,"국내산쌀,곡자,정제수",3000,3.33
259,송이주,살균약주,13.0,375,"국내산쌀,송이농충액,누룩,정제수",12000,32.0
260,송화백일주,리큐르,38.0,500,"쌀,찹쌀,누룩,산수유,오미자,구기자,솔잎,송화가루,꿀",45000,90.0
261,순향주,약주,15.0,375,"국내산쌀,누룩,정제수",56000,149.33
262,술공방 9.0 생막걸리,탁주,9.0,500,쌀,5000,10.0
263,술그리다 생탁주,탁주,10.0,500,"국내산쌀,누룩",9000,18.0
264,술아 국화주,약주,15.0,375,"국내산찹쌀,누룩,건조국화꽃,증류주,정제수",36000,96.0
265,술아 막걸리,탁주,8.0,450,"국내산찹쌀,누룩,정제수",21000,46.67
266,술아 매화주,약주,15.0,375,"국내산찹쌀,누룩,건조매화꽃,증류주,정제수",36000,96.0
267,술아 순곡주,약주,20.0,375,"국내산찹쌀,누룩,증류주,정제수",36000,96.0
268,술아 연화주,약주,15.0,375,"국내산찹쌀,누룩,건조연화꽃,증류주,정제수",36000,96.0
269,술예쁘다 생탁주,탁주,13.0,500,"국내산쌀,누룩",18000,36.0
270,술취한 원숭이,살균탁주,10.8,375,쌀,7000,18.67
271,술헤는밤,탁주,8.0,750,"국내산쌀,누룩,정제수",5900,7.87
272,스타베리 오디와인,과실주,12.0,500,양조용포도,28000,56.0
273,시나브로 드 글로리아,과실주,12.0,750,포도,25000,33.33
274,시나브로 레드 드라이,과실주,12.0,750,포도,25000,33.33
275,시나브로 레드 스위트,과실주,12.0,750,포도,25000,33.33
276,시나브로 로제와인,과실주,10.0,500,포도,30000,60.0
277,시나브로 에뚜왈 로제 스파클링,과실주,5.0,750,포도,30000,40.0
278,시나브로 에뚜왈 스파클링와인,과실주,5.0,750,포도,30000,40.0
279,시나브로 화이트와인,과실주,11.0,500,청포도,30000,60.0
280,시인의 마을 우리쌀 막걸리,탁주,10.0,700,쌀,7900,11.29
281,신례명주,일반증류주,50.0,750,감귤,99000,132.0
282,신선주 백주,탁주,10.0,500,청원생명쌀,15000,30.0
283,신선주 약주,약주,16.0,500,찹쌀,25000,50.0
284,신선주 증류주,일반증류주,52.0,375,찹쌀,60000,160.0
285,신선주,살균약주,16.0,750,"쌀,능금,신선초,천궁,구기자,당귀솔잎,대추,인삼",19000,25.33
286,심플리 애플,기타주류,12.0,350,쌀,9000,25.71
287,아이싱 자몽,탁주,4.0,350,"쌀,자몽엑기스",5000,14.29
288,아이원 막걸리,탁주,6.0,750,"쌀,밀,입국,누룩,정제수",1000,1.33
289,안동소주 일품 17도,증류식소주,17.0,350,"국내산쌀,입국",12000,34.29
290,안동소주 일품 21도,증류식소주,21.0,350,"국내산쌀,입국",13500,38.57
291,안동소주 일품 40도 골드,증류식소주,40.0,500,"국내산쌀,입국",18000,36.0
292,안성마춤 생막걸리,탁주,6.0,1000,"국내산쌀,누룩,효모,젖산,정제효소,정제수",2000,2.0
293,안양 동동주,탁주,6.0,800,쌀,1100,1.38
294,애석,약주,15.0,500,"국내산쌀,누룩,정제수",30000,60.0
295,애피소드 상그리아,과실주,3.5,500,"포도와인,정제주정,정제수,포도농축액,고과당",21000,42.0
296,애피소드 애플,과실주,3.5,500,"사과와인,정제주정,정제수,사과농축액,고과당",21000,42.0
297,애피소드 호프,기타주류,3.5,500,"사과과즙,보리,쌀,홉",21000,42.0
298,야관문 쌀 막걸리,탁주,6.0,750,쌀,1500,2.0
299,양촌 생 동동주,탁주,10.0,750,"정제수,백미,효소제,효모등",36000,48.0
300,양촌 생 막걸리,탁주,6.0,750,"팽화미,소맥분,정제수,물엿,효소,국등",30000,40.0
301,어우야,기타주류,16.0,365,야관문,9900,27.12
302,여강,증류식소주,25.0,375,"국내산쌀,누룩,정제수",20000,53.33
303,여포의 꿈 레드 (Dry),과실주,12.0,750,국내산포도,20000,26.67
304,여포의 꿈 레드(SWEET),과실주,12.0,750,국내산포도,19000,25.33
305,여포의 꿈 (화이트),과실주,12.0,375,국내산포도,20000,53.33
306,연천 아주,탁주,8.0,750,쌀,6000,8.0
307,연천 연주,약주,12.0,500,쌀,15000,30.0
308,연천 우주,일반증류주,22.0,360,쌀,8500,23.61
309,영일만친구 막걸리,탁주,6.0,750,"국내산쌀,물엿,우뭇가사리,효모,조제종국,정제효소제,아스파탐,젖산",15000,20.0
310,예담은 한산소곡화주,일반증류주,41.0,500,"찹쌀,멥쌀,누룩,대두,구절초",30000,60.0
311,예밀와인 레드 드라이,과실주,13.0,750,포도,20000,26.67
312,예밀와인 레드 스위트,과실주,12.0,750,포도,20000,26.67
313,예밀와인 로제,과실주,12.0,750,포도,20000,26.67
314,예주,과실주,15.0,750,"복분자,주정,효모,정제수",29000,38.67
315,예천주 사월24,일반증류주,24.0,375,오미자,22000,58.67
316,예천주 사월365,일반증류주,36.5,375,오미자,29000,77.33
317,예천주복 만월24,일반증류주,24.0,350,복분자,12800,36.57
318,예천주복 만월40,일반증류주,40.0,350,복분자,19200,54.86
319,예화,약주,13.0,750,"쌀,누룩,효모,물엿,정제수",10000,13.33
320,옛날 막걸리 古,탁주,7.8,750,"배정제수,쌀",2700,3.6
321,오가피와인,과실주,12.0,500,오가피열매,20000,40.0
322,오디랑,과실주,13.0,330,오디,4000,12.12
323,오매락퍽,리큐르,40.0,500,"구운매실,배증류원액",52000,104.0
324,오매백주,탁주,12.0,500,쌀,5000,10.0
325,오메기 맑은술,약주,16.0,500,"좁쌀,햅쌀,정제수,누룩",25000,50.0
326,오메기 술,약주,13.0,375,"쌀,차조,입국,누룩,효모,효소,청호,조릿대,감초,정제수",13000,34.67
327,오목대,기타주류,5.0,1000,보리,27000,27.0
328,오미로제 프리미어와인,과실주,12.0,750,오미자,39000,52.0
329,오미시앙 스페셜,과실주,12.0,500,"오미자,주정,설탕,효모",10000,20.0
330,오미자 생막걸리,살균탁주,6.5,750,"정제수,백미",2500,3.33
331,오산막걸리,탁주,6.0,500,쌀,3000,6.0
332,오희 스파클링 막걸리,탁주,8.5,500,"백미,건오미자,조효소제,효모,정제수",36000,72.0
333,왕율주,일반증류주,25.0,330,"국내산쌀,밤,누룩,정제수",8000,24.24
334,왕피천을 품은 미소생막걸리,탁주,7.0,750,"쌀,누룩,정제수",1200,1.6
335,우곡생주,탁주,10.0,750,쌀,6500,8.67
336,우도 땅콩 전통주,기타주류,6.0,750,"정제수,전분당,백미,국,땅콩분,효모,젖산등",4000,5.33
337,운암1945,약주,12.0,750,쌀,28000,37.33
338,원매 프리미엄,리큐르,20.0,700,"매실주원액,발효주정,정제수,꿀",45000,64.29
