,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
29,계룡백일주 30도,리큐르,30.0,400,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",40000,100.0,2.0,3.0,2.0,,,,,
30,계룡백일주 40도,리큐르,40.0,600,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",80000,133.33,3.0,3.0,3.0,,,,,
31,계룡산 산삼주 금수강산 21%,일반증류주,21.0,740,"산양산삼,정제주,주정",110000,148.65,,2.0,2.0,2.0,,,,
32,계룡산 산삼주 금수강산 40%,일반증류주,40.0,740,"산양산삼,정제주,주정",150000,202.7,,3.0,3.0,3.0,,,,
33,고도리 레드와인 스위트,과실주,12.0,750,머루포도,22000,29.33,,3.0,,,3.0,2.0,3.0,
34,고도리 복숭아와인,과실주,6.5,750,복숭아,32000,42.67,,2.0,,,3.0,3.0,4.0,
35,고도리 화이트와인 드라이,과실주,10.5,750,거봉포도,22000,29.33,,2.0,,,3.0,3.0,2.0,
36,고도리 화이트와인 스위트,과실주,10.5,750,거봉포도,22000,29.33,,2.0,,,3.0,3.0,4.0,
37,고소리 술 700ml,증류식소주,40.0,700,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",45000,64.29,,,,,1.0,3.0,2.0,
38,고소리 술 375ml,증류식소주,40.0,375,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",25000,66.67,,,,,1.0,3.0,2.0,
39,고운달 백자,일반증류주,52.0,500,오미자,360000,720.0,,5.0,3.0,4.0,,,,
40,고운달 오크,일반증류주,52.0,500,오미자,360000,720.0,,5.0,4.0,3.0,,,,
41,고창복분자주1800ml,과실주,15.0,1800,"복분자과실,주정,효모,구연산,정제수",27000,15.0,,2.0,,,1.0,3.0,3.0,
42,고창복분자주300ml,과실주,13.0,300,"복분자과실,주정,효모,구연산,정제수",50000,166.67,,2.0,,,1.0,3.0,3.0,
43,고창선운산 땡큐블루베리주,과실주,13.0,300,"블루베리과실,주정,효모,구연산,정제수",60000,200.0,,2.0,,,2.0,2.0,2.0,
44,공주애 오디와인,과실주,15.0,375,"국내산오디,정제수,주정,과당,효모",6000,16.0,,1.0,,,2.0,3.0,3.0,
45,구기홍주 14,약주,14.0,360,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",16000,44.44,,3.0,,,1.0,2.0,3.0,
46,구름을 벗삼아,탁주,6.0,750,"정제수,찹쌀·백미",1500,2.0,,,,,3.0,3.0,3.0,
