,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
231,샤토미소 스위트 로제,과실주,12.0,375,"포도,산화방지제,효모,설탕등",20000,53.33,,2.0,,,1.0,,3.0,
232,샤토미소 영동,일반증류주,40.0,200,포도,30000,150.0,,4.0,3.0,2.0,,,,
233,샹스프랑보아즈,과실주,13.0,500,복분자,150000,300.0,,2.0,,,3.0,3.0,4.0,
234,서울의 밤,리큐르,25.0,375,"매실증류주원액,벌꿀,포도당,노간주나무열매,정제수",7500,20.0,,2.0,4.0,1.0,,,,
235,서주 16%,약주,16.0,400,백미,45000,112.5,,3.0,,,2.0,3.0,3.0,
236,석로주,약주,13.0,720,"국내산쌀,석이버섯,누룩,효모,정제수",34000,47.22,,4.0,,,1.0,1.0,1.0,
237,석탄주 약주,약주,15.0,500,"국내산찹쌀,누룩,정제수",7000,14.0,,3.0,,,3.0,2.0,1.0,
238,석탄주 탁주,탁주,15.0,500,"국내산찹쌀,누룩,정제수",6000,12.0,,4.0,,,3.0,3.0,2.0,
239,선운산 복분자와인,과실주,13.0,300,복분자,6000,20.0,,2.0,,,4.0,3.0,4.0,
240,선운산 복분자주 프리미엄,과실주,19.0,700,복분자,40000,57.14,,2.0,,,3.0,3.0,4.0,
241,선운산의 아침 복분자막걸리,살균탁주,6.0,750,"복분자,쌀,효모,국,과당,구연산,젖산,정제수",28000,37.33,,,,,2.0,1.0,2.0,
242,선호 생막걸리,탁주,6.0,750,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수",1700,2.27,,3.0,,,3.0,3.0,2.0,
243,설레온,증류식소주,40.0,375,"쌀,누룩,효모,정제수",20000,53.33,2.0,3.0,1.0,,,,,
244,설련주,약주,16.0,750,"백련,찹쌀,멥쌀,누룩",35000,46.67,,3.0,,,4.0,2.0,2.0,
245,설성 만월 막걸리(유기농쌀 100%),탁주,8.0,750,"정제수,유기농쌀국내산,누룩,유기농올리고당등",4000,5.33,,,,,3.0,2.0,2.0,
246,설하담,탁주,8.0,950,"국내산멥쌀,개량누룩,정제수,이산화탄소",7400,7.79,,2.0,,,1.0,4.0,3.0,
247,성포 생막걸리,탁주,6.0,750,쌀,1100,1.47,,3.0,,,3.0,3.0,3.0,
248,세우리,일반증류주,45.0,700,"산양삼,하수오,구기자,쌀",250000,357.14,,4.0,5.0,3.0,,,,
249,세종 알밤주,기타주류,6.0,750,"정제수,백미,소맥분,알밤",1500,2.0,,,,,1.0,3.0,4.0,
250,세종 오가닉,살균약주,13.0,375,"정제수,유기농백미,국,효모,정제효소,구연산",9000,24.0,,1.0,,,3.0,,1.0,
251,세종대왕어주 약주,약주,15.0,500,쌀,25900,51.8,,3.0,,,1.0,1.0,3.0,
252,세종대왕어주 탁주,탁주,13.0,500,쌀,16900,33.8,,2.0,,,3.0,1.0,3.0,
253,소백산 검은콩 막걸리,탁주,6.0,1500,"백미,소맥분,검은콩,검은깨등",3000,2.0,,,,,1.0,1.0,3.0,
254,소백산 생 막걸리,탁주,6.0,1700,"쌀,정제수,소맥분,입국,효모등",1980,1.16,,,,,3.0,2.0,2.0,
255,소백산 생 만찬주,탁주,6.0,750,"정제수,쌀,소맥분,입국,효모,아스파탐등",1200,1.6,,,,,2.0,2.0,2.0,
256,소백산 청 동동주,약주,10.0,1700,"쌀,소맥분,누룩,주정,고과당,대추등",3000,1.76,,,,,1.0,2.0,2.0,
257,소양강 생 막걸리,탁주,6.0,750,"백미,소맥분,정제수,팽화미,아스파탐,물엿,정제수",1200,1.6,,,,,3.0,2.0,1.0,
258,솔송주,살균약주,13.0,375,"정제수,백미",7000,18.67,,3.0,,,1.0,,2.0,
259,송명섭 막걸리,탁주,6.0,900,"국내산쌀,곡자,정제수",3000,3.33,,3.0,,,3.0,3.0,1.0,
260,송이주,살균약주,13.0,375,"국내산쌀,송이농충액,누룩,정제수",12000,32.0,,2.0,,,4.0,1.0,1.0,
261,송화백일주,리큐르,38.0,500,"쌀,찹쌀,누룩,산수유,오미자,구기자,솔잎,송화가루,꿀",45000,90.0,,3.0,3.0,3.0,,,,
262,순향주,약주,15.0,375,"국내산쌀,누룩,정제수",56000,149.33,,2.0,,,2.0,2.0,2.0,
263,술공방 9.0 생막걸리,탁주,9.0,500,쌀,5000,10.0,,3.0,,,2.0,1.0,3.0,
264,술그리다 생탁주,탁주,10.0,500,"국내산쌀,누룩",9000,18.0,,1.0,,,1.0,1.0,2.0,
265,술아 국화주,약주,15.0,375,"국내산찹쌀,누룩,건조국화꽃,증류주,정제수",36000,96.0,,4.0,,,3.0,2.0,4.0,
266,술아 막걸리,탁주,8.0,450,"국내산찹쌀,누룩,정제수",21000,46.67,,4.0,,,4.0,3.0,3.0,
267,술아 매화주,약주,15.0,375,"국내산찹쌀,누룩,건조매화꽃,증류주,정제수",36000,96.0,,4.0,,,3.0,2.0,5.0,
268,술아 순곡주,약주,20.0,375,"국내산찹쌀,누룩,증류주,정제수",36000,96.0,,5.0,,,3.0,2.0,5.0,
269,술아 연화주,약주,15.0,375,"국내산찹쌀,누룩,건조연화꽃,증류주,정제수",36000,96.0,,4.0,,,3.0,2.0,5.0,
270,술예쁘다 생탁주,탁주,13.0,500,"국내산쌀,누룩",18000,36.0,,2.0,,,3.0,1.0,1.0,
271,술취한 원숭이,살균탁주,10.8,375,쌀,7000,18.67,,,,,2.0,2.0,4.0,
272,술헤는밤,탁주,8.0,750,"국내산쌀,누룩,정제수",5900,7.87,,3.0,,,4.0,2.0,2.0,
273,스타베리 오디와인,과실주,12.0,500,양조용포도,28000,56.0,,3.0,,,4.0,3.0,3.0,
274,시나브로 드 글로리아,과실주,12.0,750,포도,25000,33.33,,2.0,,,3.0,2.0,3.0,
275,시나브로 레드 드라이,과실주,12.0,750,포도,25000,33.33,,3.0,,,3.0,3.0,2.0,
276,시나브로 레드 스위트,과실주,12.0,750,포도,25000,33.33,,2.0,,,3.0,3.0,3.0,
277,시나브로 로제와인,과실주,10.0,500,포도,30000,60.0,,3.0,,,3.0,3.0,3.0,
278,시나브로 에뚜왈 로제 스파클링,과실주,5.0,750,포도,30000,40.0,,2.0,,,3.0,4.0,2.0,
279,시나브로 에뚜왈 스파클링와인,과실주,5.0,750,포도,30000,40.0,,2.0,,,3.0,4.0,3.0,
280,시나브로 화이트와인,과실주,11.0,500,청포도,30000,60.0,,3.0,,,4.0,4.0,4.0,
281,시인의 마을 우리쌀 막걸리,탁주,10.0,700,쌀,7900,11.29,,4.0,,,3.0,3.0,2.0,
282,신례명주,일반증류주,50.0,750,감귤,99000,132.0,,4.0,4.0,2.0,,,,
283,신선주 백주,탁주,10.0,500,청원생명쌀,15000,30.0,,3.0,,,3.0,1.0,2.0,3.0
284,신선주 약주,약주,16.0,500,찹쌀,25000,50.0,,3.0,,,3.0,,3.0,3.0
285,신선주 증류주,일반증류주,52.0,375,찹쌀,60000,160.0,4.0,3.0,4.0,2.0,,,,
286,신선주,살균약주,16.0,750,"쌀,능금,신선초,천궁,구기자,당귀솔잎,대추,인삼",19000,25.33,,,,,3.0,2.0,3.0,
287,심플리 애플,기타주류,12.0,350,쌀,9000,25.71,4.0,1.0,4.0,2.0,,,,3.0
288,아이싱 자몽,탁주,4.0,350,"쌀,자몽엑기스",5000,14.29,,,,,1.0,1.0,3.0,
289,아이원 막걸리,탁주,6.0,750,"쌀,밀,입국,누룩,정제수",1000,1.33,,2.0,,,3.0,3.0,3.0,
290,안동소주 일품 17도,증류식소주,17.0,350,"국내산쌀,입국",12000,34.29,3.0,2.0,1.0,,,,,
291,안동소주 일품 21도,증류식소주,21.0,350,"국내산쌀,입국",13500,38.57,3.0,2.0,1.0,,,,,
292,안동소주 일품 40도 골드,증류식소주,40.0,500,"국내산쌀,입국",18000,36.0,3.0,3.0,1.0,,,,,
293,안성마춤 생막걸리,탁주,6.0,1000,"국내산쌀,누룩,효모,젖산,정제효소,정제수",2000,2.0,,2.0,,,2.0,3.0,3.0,
294,안양 동동주,탁주,6.0,800,쌀,1100,1.38,,3.0,,,3.0,3.0,3.0,
295,애석,약주,15.0,500,"국내산쌀,누룩,정제수",30000,60.0,,2.0,,,1.0,2.0,2.0,
296,애피소드 상그리아,과실주,3.5,500,"포도와인,정제주정,정제수,포도농축액,고과당",21000,42.0,,2.0,,,4.0,4.0,4.0,
297,애피소드 애플,과실주,3.5,500,"사과와인,정제주정,정제수,사과농축액,고과당",21000,42.0,,2.0,,,4.0,4.0,4.0,
298,애피소드 호프,기타주류,3.5,500,"사과과즙,보리,쌀,홉",21000,42.0,,2.0,,,4.0,4.0,4.0,
299,야관문 쌀 막걸리,탁주,6.0,750,쌀,1500,2.0,,,,,3.0,2.0,1.0,
300,양촌 생 동동주,탁주,10.0,750,"정제수,백미,효소제,효모등",36000,48.0,,,,,1.0,2.0,3.0,
301,양촌 생 막걸리,탁주,6.0,750,"팽화미,소맥분,정제수,물엿,효소,국등",30000,40.0,,,,,3.0,2.0,2.0,
302,어우야,기타주류,16.0,365,야관문,9900,27.12,,2.0,2.0,3.0,,,,
303,여강,증류식소주,25.0,375,"국내산쌀,누룩,정제수",20000,53.33,,3.0,3.0,2.0,,,,
304,여포의 꿈 레드 (Dry),과실주,12.0,750,국내산포도,20000,26.67,,2.0,,,2.0,,2.0,
305,여포의 꿈 레드(SWEET),과실주,12.0,750,국내산포도,19000,25.33,,3.0,,,1.0,,4.0,
306,여포의 꿈 (화이트),과실주,12.0,375,국내산포도,20000,53.33,,2.0,,,2.0,,1.0,
307,연천 아주,탁주,8.0,750,쌀,6000,8.0,,3.0,,,4.0,3.0,2.0,
308,연천 연주,약주,12.0,500,쌀,15000,30.0,,3.0,,,4.0,2.0,2.0,
309,연천 우주,일반증류주,22.0,360,쌀,8500,23.61,,3.0,3.0,2.0,,,,
310,영일만친구 막걸리,탁주,6.0,750,"국내산쌀,물엿,우뭇가사리,효모,조제종국,정제효소제,아스파탐,젖산",15000,20.0,,2.0,,,2.0,3.0,2.0,
311,예담은 한산소곡화주,일반증류주,41.0,500,"찹쌀,멥쌀,누룩,대두,구절초",30000,60.0,3.0,3.0,2.0,,,,,
312,예밀와인 레드 드라이,과실주,13.0,750,포도,20000,26.67,,3.0,,,1.0,2.0,1.0,
313,예밀와인 레드 스위트,과실주,12.0,750,포도,20000,26.67,,3.0,,,1.0,2.0,4.0,
314,예밀와인 로제,과실주,12.0,750,포도,20000,26.67,,3.0,,,1.0,2.0,4.0,
315,예주,과실주,15.0,750,"복분자,주정,효모,정제수",29000,38.67,,,,,3.0,1.0,1.0,
316,예천주 사월24,일반증류주,24.0,375,오미자,22000,58.67,,2.0,3.0,2.0,,,,
317,예천주 사월365,일반증류주,36.5,375,오미자,29000,77.33,,2.0,3.0,3.0,,,,
318,예천주복 만월24,일반증류주,24.0,350,복분자,12800,36.57,,3.0,4.0,3.0,,,,
319,예천주복 만월40,일반증류주,40.0,350,복분자,19200,54.86,,4.0,4.0,3.0,,,,
320,예화,약주,13.0,750,"쌀,누룩,효모,물엿,정제수",10000,13.33,,,,,1.0,1.0,2.0,
321,옛날 막걸리 古,탁주,7.8,750,"배정제수,쌀",2700,3.6,,,,,2.0,1.0,2.0,
322,오가피와인,과실주,12.0,500,오가피열매,20000,40.0,,3.0,,,2.0,2.0,3.0,
323,오디랑,과실주,13.0,330,오디,4000,12.12,,1.0,,,1.0,,3.0,
324,오매락퍽,리큐르,40.0,500,"구운매실,배증류원액",52000,104.0,3.0,4.0,3.0,,,,,
325,오매백주,탁주,12.0,500,쌀,5000,10.0,,1.0,,,1.0,1.0,5.0,
326,오메기 맑은술,약주,16.0,500,"좁쌀,햅쌀,정제수,누룩",25000,50.0,,3.0,,,5.0,1.0,1.0,
327,오메기 술,약주,13.0,375,"쌀,차조,입국,누룩,효모,효소,청호,조릿대,감초,정제수",13000,34.67,,,,,2.0,1.0,2.0,
328,오목대,기타주류,5.0,1000,보리,27000,27.0,,3.0,,,3.0,4.0,2.0,
329,오미로제 프리미어와인,과실주,12.0,750,오미자,39000,52.0,,4.0,,,4.0,4.0,3.0,
330,오미시앙 스페셜,과실주,12.0,500,"오미자,주정,설탕,효모",10000,20.0,,2.0,,,3.0,,1.0,
331,오미자 생막걸리,살균탁주,6.5,750,"정제수,백미",2500,3.33,,,,,3.0,2.0,2.0,
332,오산막걸리,탁주,6.0,500,쌀,3000,6.0,,3.0,,,4.0,2.0,2.0,
333,오희 스파클링 막걸리,탁주,8.5,500,"백미,건오미자,조효소제,효모,정제수",36000,72.0,,2.0,,,3.0,3.0,1.0,
334,왕율주,일반증류주,25.0,330,"국내산쌀,밤,누룩,정제수",8000,24.24,,3.0,3.0,3.0,,,,
335,왕피천을 품은 미소생막걸리,탁주,7.0,750,"쌀,누룩,정제수",1200,1.6,,2.0,,,3.0,3.0,3.0,
336,우곡생주,탁주,10.0,750,쌀,6500,8.67,,5.0,,,2.0,2.0,4.0,
337,우도 땅콩 전통주,기타주류,6.0,750,"정제수,전분당,백미,국,땅콩분,효모,젖산등",4000,5.33,,,,,1.0,3.0,4.0,
338,운암1945,약주,12.0,750,쌀,28000,37.33,,3.0,,,3.0,,3.0,3.0
339,원매 프리미엄,리큐르,20.0,700,"매실주원액,발효주정,정제수,꿀",45000,64.29,2.0,4.0,3.0,,,,,
340,원매,리큐르,15.0,750,"매실원주액,매실청,꿀,카라멜,효소처리스테비아,정제수",35000,46.67,,3.0,4.0,1.0,,,,
341,원조 한산소곡주,약주,16.0,750,"찹쌀,멥쌀,누룩,대두,구절초",12000,16.0,,2.0,,,1.0,4.0,3.0,
342,원조소곡화주,일반증류주,41.0,300,"찹쌀,멥쌀,누룩",14000,46.67,,2.0,3.0,3.0,,,,
343,월매 쌀막걸리,살균탁주,6.0,350,"백미,말토올리고당,정제수",1200,3.43,,1.0,,,2.0,3.0,2.0,
344,유기농 이도 42,증류식소주,42.0,750,유기농쌀,42000,56.0,,,,,1.0,1.0,2.0,
345,유기농 이도14,약주,14.0,750,유기농쌀,20000,26.67,,2.0,,,3.0,3.0,3.0,
346,유자 동동주,탁주,6.0,750,쌀,1100,1.47,,3.0,,,3.0,3.0,2.0,
347,유자 생 막걸리,살균탁주,5.0,750,"쌀,유자,정제수,고과당,효모등",1800,2.4,,,,,3.0,3.0,2.0,
348,율무 동동주,탁주,14.0,750,쌀,14000,18.67,,4.0,,,4.0,3.0,2.0,
349,은자골 곶감 생 탁배기,탁주,6.0,750,"백미,소맥분,정제수,곶감분말,전분당,국,누룩,효소,아스파탐등",1500,2.0,,,,,1.0,3.0,1.0,
350,은자골 생 탁배기,탁주,5.0,750,"백미,소맥분,정제수,전분당,국,누룩,효소,아스파탐등",1500,2.0,,,,,3.0,3.0,1.0,
351,이강주 2호,리큐르,25.0,750,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",28000,37.33,,,,,1.0,2.0,2.0,
352,이강주 375ml,리큐르,19.0,375,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",4500,12.0,,,,,1.0,2.0,2.0,
353,이강주 특7호,리큐르,25.0,400,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",50000,125.0,,,,,1.0,2.0,2.0,
354,이도 32,일반증류주,32.0,750,"물,증류원액",37000,49.33,2.0,2.0,2.0,3.0,,,,3.0
355,이동 생 쌀 막걸리,탁주,6.0,750,"정제수,백미,팽화미,입국,아스파탐등",1300,1.73,,,,,3.0,3.0,1.0,
356,이동 쌀 막걸리,살균탁주,6.0,1200,"정제수,백미,팽화미,입국,아스파탐등",1600,1.33,,,,,1.0,1.0,3.0,
357,이상헌 약주,약주,18.0,500,"아산쌀,국",45000,90.0,,3.0,,,3.0,3.0,3.0,
358,이상헌 탁주,탁주,19.0,500,"아산쌀,국",25000,50.0,,3.0,,,3.0,3.0,2.0,
359,이화백주,탁주,6.0,940,"국내산햅쌀,전통누룩,정제수",12000,12.77,,3.0,,,3.0,4.0,3.0,
360,이화주,탁주,8.0,100,쌀,6500,65.0,,,,,1.0,1.0,4.0,
361,인천 생 소성주,탁주,6.0,750,"쌀,팽화미,정제수,국,효모,아스파탐,효소,이소말토올리고당",1200,1.6,,,,,2.0,1.0,1.0,
362,입장탁주,살균탁주,6.0,750,"쌀,정제수,고과당,효모등",1200,1.6,,,,,2.0,2.0,2.0,
363,자두와인 레드,과실주,12.0,750,피자두,22000,29.33,,,,,3.0,2.0,2.0,
364,자두와인 화이트,과실주,12.0,750,후무사,22000,29.33,,,,,3.0,2.0,2.0,
365,자연담은 복분자막걸리,살균탁주,6.0,360,"복분자,쌀,효모,국,과당,구연산,젖산,정제수",56000,155.56,,,,,1.0,1.0,2.0,
366,자희향,탁주,12.0,500,찹쌀,16000,32.0,,,,,2.0,1.0,2.0,
367,자희향 국화주,약주,15.0,500,"찹쌀,멥쌀,누룩,정제수,국화",20000,40.0,,,,,2.0,1.0,1.0,
368,자희향 나비,탁주,8.0,500,찹쌀,8000,16.0,,,,,1.0,2.0,2.0,
369,장수 생 막걸리,탁주,6.0,750,백미,1200,1.6,,,,,3.0,3.0,2.0,
370,장수 오미자주,과실주,16.5,360,오미자,5400,15.0,,3.0,,,4.0,4.0,3.0,
371,장홍삼 장수 막걸리,살균탁주,6.0,750,"백미,말토올리고당,홍삼분말",2000,2.67,,,,,4.0,3.0,1.0,
372,정고집 나주배 약주 15%,약주,15.0,500,"쌀,쌀가루",20000,40.0,,3.0,,,2.0,3.0,4.0,
373,정고집 나주배 약주 9%,약주,9.0,500,"쌀,쌀가루",18000,36.0,,2.0,,,2.0,3.0,4.0,
374,정고집 나주쌀 생막걸리,탁주,6.0,750,"쌀,쌀가루",12000,16.0,,3.0,,,3.0,3.0,3.0,
375,정고집 옛날 생동동주,탁주,6.0,750,"쌀,쌀가루",18000,24.0,,3.0,,,3.0,4.0,3.0,
376,제주 고소리술,증류식소주,40.0,400,"잡곡,누룩,정제수",45000,112.5,,3.0,4.0,1.0,,,,
377,젤코바 스페셜와인,과실주,11.5,375,"국내산산머루,포도",36000,96.0,,3.0,,,4.0,2.0,2.0,
378,젤코바 캠벨와인,과실주,13.5,750,"유기농캠벨포도,유기농설탕",62500,83.33,,3.0,,,4.0,2.0,3.0,
379,젤코바 프리미엄와인,과실주,12.0,500,"국내산산머루,포도",50000,100.0,,4.0,,,4.0,2.0,1.0,
380,조선주조사,청주,14.0,300,쌀,9000,30.0,,3.0,,,3.0,2.0,3.0,
381,주몽 복분자주,기타주류,16.0,375,"쌀,복분자",5000,13.33,,,,,1.0,1.0,3.0,
382,주산지 막걸리,탁주,6.0,750,쌀,1200,1.6,,2.0,,,1.0,2.0,2.0,
383,죽력고,일반증류주,32.0,700,"국내산쌀,죽력,누룩,정제수",60000,85.71,,3.0,4.0,2.0,,,,
384,줄포 생 막걸리,탁주,6.0,750,쌀,1200,1.6,,,,,2.0,3.0,2.0,
385,지란지교 약주,약주,17.0,375,찹쌀·멥쌀,20000,53.33,,4.0,,,4.0,,4.0,4.0
386,지란지교 탁주,탁주,13.0,500,탁주찹쌀,30000,60.0,,4.0,,,4.0,1.0,4.0,4.0
387,지리산 허브잎 술,살균탁주,6.0,750,쌀,1500,2.0,,,,,2.0,2.0,1.0,
388,지리산 정담 생쌀 막걸리,탁주,6.0,750,쌀,1500,2.0,,,,,3.0,2.0,1.0,
389,지장수 호박 생 막걸리,탁주,6.0,750,정제수,1400,1.87,,,,,1.0,2.0,3.0,
390,지평 생 쌀막걸리 (700ml),탁주,5.0,700,쌀,1650,2.36,,,,,1.0,4.0,4.0,
391,지평 생 쌀막걸리 (1.7L),탁주,5.0,1700,쌀,2700,1.59,,,,,1.0,4.0,4.0,
392,지평 생 옛막걸리,탁주,5.0,1700,"밀,정제수,국,분말종국,효모,정제효소등",2500,1.47,,,,,1.0,2.0,4.0,
393,진도홍주 루비콘,리큐르,40.0,375,"쌀,누룩,지초,정제수",10000,26.67,3.0,3.0,3.0,,,,,
394,진맥소주 22%,증류식소주,22.0,375,유기농우리밀,22000,58.67,,2.0,3.0,2.0,,,,
395,진맥소주 40%,증류식소주,40.0,200,유기농우리밀,49000,245.0,,2.0,4.0,3.0,,,,
396,진맥소주 53%,증류식소주,53.0,200,유기농우리밀,88000,440.0,,3.0,4.0,4.0,,,,
397,진심 홍삼주 19도,일반증류주,19.0,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",3000,8.0,,,,,1.0,1.0,3.0,
398,진쾌남,리큐르,25.0,330,"국내산쌀,밤,누룩,구기자,오미자,산수유,오가피,동충하초,정제수",8500,25.76,,3.0,3.0,4.0,,,,
399,찰막걸리 750ml,살균탁주,5.5,750,"정제수,쌀,밀가루,찹쌀,입국,효모정제효소제,아스파탐",30000,40.0,,,,,2.0,3.0,2.0,
400,창원 생탁주,탁주,6.0,750,쌀,1000,1.33,,3.0,,,3.0,3.0,3.0,
401,천년담주,약주,15.0,500,백미,10000,20.0,,4.0,,,1.0,1.0,2.0,
402,천년전주 생 막걸리,살균탁주,6.0,750,"정제수,쌀,소맥분,수쿠랄로스,효모,젖산,정제효소",1300,1.73,,,,,1.0,2.0,1.0,
403,천년주,일반증류주,25.0,375,쌀,15000,40.0,,2.0,2.0,3.0,,,,
404,천등산 차례주,청주,11.0,700,쌀,5900,8.43,,3.0,,,2.0,2.0,3.0,
405,천마 이야기 막걸리,탁주,6.0,750,"팽화미,입국미,무주천마분말,오미자추출액",1500,2.0,,,,,2.0,2.0,2.0,
406,천마몽,리큐르,38.0,375,"쌀,누룩,효모,천마,정제수",15000,40.0,3.0,3.0,2.0,,,,,
407,천매,리큐르,30.0,600,"매실주원액,발효주정,정제수,꿀",130000,216.67,2.0,4.0,3.0,,,,,
408,천비향 오양주 약주,약주,16.0,500,"국내산쌀,누룩",40000,80.0,,3.0,,,2.0,1.0,2.0,
409,천비향 오양주 탁주,탁주,14.0,500,"국내산쌀,누룩",18000,36.0,,3.0,,,2.0,1.0,2.0,
410,천비향 화주,증류식소주,40.0,375,"국내산쌀,누룩",50000,133.33,,2.0,5.0,4.0,,,,
411,천안 연미주,살균약주,13.0,360,백미,5000,13.89,,,,,3.0,4.0,2.0,
412,천지주가 생 막걸리,살균탁주,6.0,750,"쌀,정제수,국,효모등",1400,1.87,,,,,2.0,2.0,3.0,
413,청남대 블루베리 막걸리,탁주,6.0,750,"국내산쌀,블루베리엑기스,효모,조효소재,물엿,아스파탐,정제수",25000,33.33,,2.0,,,2.0,3.0,3.0,
414,청명주 500,약주,17.0,500,"국내산찹쌀,누룩,소맥분",23000,46.0,,4.0,,,4.0,2.0,4.0,
415,청명주 750,약주,17.0,750,"국내산찹쌀,누룩,소맥분",36000,48.0,,4.0,,,4.0,2.0,4.0,
416,청산녹수 꿀막걸리,탁주,8.0,750,쌀,18000,24.0,,4.0,,,2.0,3.0,1.0,
417,청산녹수 사미인주,탁주,8.0,750,유기농햅쌀,32000,42.67,,3.0,,,2.0,4.0,2.0,
418,청산녹수 생탁주,탁주,6.0,750,쌀,12000,16.0,,3.0,,,3.0,3.0,1.0,
419,청세주,약주,18.0,375,쌀,4000,10.67,,,,,1.0,1.0,3.0,
420,청송 얼음골 동동주,탁주,6.0,1200,쌀,1800,1.5,,2.0,,,3.0,4.0,2.0,
421,청송 주왕 사과막걸리,탁주,6.0,750,쌀,1500,2.0,,2.0,,,3.0,4.0,2.0,
422,청양 둔송 구기주,약주,16.0,700,"쌀,누룩,구기자,감초,두충껍질",23000,32.86,,,,,1.0,1.0,3.0,
423,청진주,약주,16.0,375,"찹쌀,누룩,정제수",30000,80.0,,1.0,,,2.0,1.0,2.0,
424,청춘,청주,15.0,750,"쌀,누룩,정제수",20000,26.67,,,,,2.0,1.0,2.0,
425,초선의 꿈 (로제),과실주,12.0,375,국내산포도,20000,53.33,,2.0,,,3.0,,1.0,
426,추사 로제,과실주,12.0,375,사과,20000,53.33,,1.0,,,3.0,2.0,2.0,
427,추사 애플와인,과실주,12.0,375,사과,20000,53.33,,,,,1.0,2.0,3.0,
428,추사40,일반증류주,40.0,500,사과,60000,120.0,,3.0,5.0,1.0,,,,
429,추사백25,일반증류주,25.0,350,증류원액,12000,34.29,3.0,2.0,4.0,2.0,,,,4.0
430,추사블루,과실주,12.0,375,블루베리,20000,53.33,,,,,1.0,2.0,3.0,
431,추성주,일반증류주,25.0,700,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",80000,114.29,,,,,1.0,3.0,2.0,
432,추시와인,기타주류,12.5,750,감,16000,21.33,,3.0,,,2.0,2.0,3.0,
433,충주 백주,일반증류주,35.0,375,쌀증류원액,7800,20.8,,3.0,4.0,2.0,,,,
434,컨츄리 산머루 와인 (드라이),과실주,14.0,750,국산산머루원액,20000,26.67,,3.0,,,3.0,,1.0,
435,컨츄리 산머루 와인 (스위트),과실주,12.0,750,국산산머루원액,20000,26.67,,2.0,,,3.0,,2.0,
436,컨츄리캠벨 (스위트),과실주,12.0,750,국산포도원액,15000,20.0,,3.0,,,1.0,,3.0,
437,"코이버펑크, 머스캣 베일리 에이",과실주,12.0,750,와이너리재배포도,65000,86.67,,4.0,,,3.0,3.0,3.0,
438,"코이버펑크, 샤르도네 세미용 블렌드",과실주,11.0,750,와이너리재배포도,65000,86.67,,3.0,,,4.0,4.0,2.0,
439,쿨샷7.5,과실주,7.5,300,"복분자과실,주정,효모,구연산,정제수",60000,200.0,,2.0,,,1.0,2.0,3.0,
440,크라테 레드와인 드라이,과실주,11.5,750,산머루,48000,64.0,,3.0,,,2.0,3.0,2.0,
441,크라테 레드와인 스위트,과실주,11.5,750,산머루,48000,64.0,,1.0,,,2.0,3.0,4.0,
442,크라테 로제와인,과실주,11.5,375,산머루,18000,48.0,,3.0,,,1.0,3.0,4.0,
443,타미앙스,일반증류주,40.0,500,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",50000,100.0,,,,,1.0,2.0,1.0,
444,톡 쏘는 복분자 막걸리,살균탁주,6.0,750,"쌀,정제수,쌀입국,복분자원액,효모등",1800,2.4,,,,,1.0,3.0,5.0,
445,톡 쏘는 알밤동동,기타주류,6.0,350,"쌀,정제수,입국,밤농축액,밤추출물등",1300,3.71,,,,,1.0,3.0,4.0,
446,톡 한잔 골드,리큐르,43.0,500,"찰보리,쌀10%,민들레분말,볶음보리",49000,98.0,3.0,4.0,3.0,,,,,
447,톡 한잔 소주,증류식소주,30.0,500,"찰보리,쌀10%",10000,20.0,2.0,3.0,2.0,,,,,
448,티나,리큐르,16.0,750,"딸기추출물,죽력,정제수,주정,액상과당",54000,72.0,,5.0,4.0,4.0,,,,
449,펀치 쌀 바나나,기타주류,4.0,750,쌀,2000,2.67,,,,,1.0,2.0,3.0,
450,편백숲 산소막걸리,탁주,5.2,750,"멥쌀,올리고당,사과농축액,누룩,아스파탐",1900,2.53,,3.0,,,3.0,3.0,3.0,
451,편백숲 산소막걸리 딸기스파클링,탁주,6.8,940,"멥쌀,찹쌀,누룩,딸기,올리고당",41000,43.62,,3.0,,,2.0,5.0,3.0,
452,편백숲 산소막걸리 순수령,탁주,5.8,750,"멥쌀,찹쌀,누룩",4000,5.33,,4.0,,,1.0,1.0,3.0,
453,평창 오디주,과실주,16.0,360,국내산오디,19500,54.17,,,,,3.0,1.0,1.0,
454,평창 머루주,과실주,16.0,360,국내산산머루,19500,54.17,,,,,3.0,1.0,1.0,
455,포엠 레드 드라이와인,과실주,12.0,750,포도,25000,33.33,,4.0,,,3.0,2.0,2.0,
456,포엠 레드 스위트와인,과실주,12.0,750,포도,25000,33.33,,3.0,,,3.0,3.0,4.0,
457,포엠 로제와인,과실주,12.0,750,포도,35000,46.67,,3.0,,,3.0,3.0,4.0,
458,포엠 화이트와인,과실주,12.0,750,청포도,35000,46.67,,3.0,,,4.0,4.0,4.0,
