,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
400,술그리다 생탁주,탁주,10,500,"국내산쌀,누룩",9000,18.0
401,아이원 막걸리,탁주,6,750,"쌀,밀,입국,누룩,정제수",1000,1.33
402,한비 동충하초술,리큐르,35,375,"국내산쌀,누룩,가시오가피뿌리,동충하초,정제수",30000,80.0
403,한비 무병장수술,리큐르,35,375,"국내산쌀,흑삼,인삼,오가피,오미자,구기자,복분자,차전자,토사자,산수유",30000,80.0
404,귀감,일반증류주,25,350,감귤과즙,25000,71.43
405,도구 막걸리,탁주,6,750,밀,15000,20.0
406,병영설성사또,일반증류주,40,700,쌀,40000,57.14
407,술헤는밤,탁주,8,750,"국내산쌀,누룩,정제수",5900,7.87
408,남산애 포트와인,과실주,18.5,750,포도,55000,73.33
409,삼선,탁주,10,500,"국내산쌀,누룩,정제수",15000,30.0
410,정고집 나주배 약주 15%,약주,15,500,"쌀,쌀가루",20000,40.0
411,가을빛 레드와인,과실주,14,750,포도,35000,46.67
412,오가피와인,과실주,12,500,오가피열매,20000,40.0
413,여강,증류식소주,25,375,"국내산쌀,누룩,정제수",20000,53.33
414,샤토미소 랑,과실주,12,375,청포도,20000,53.33
415,햇찹쌀이 하늘수,탁주,6,500,쌀,1100,2.2
416,병영설성 동동주,탁주,6,1700,쌀,2500,1.47
417,시나브로 에뚜왈 로제 스파클링,과실주,5,750,포도,30000,40.0
418,두리향,증류식소주,43,500,"국내산찹쌀,누룩,정제수",36000,72.0
419,선운산 복분자주 프리미엄,과실주,19,700,복분자,40000,57.14
420,연천 우주,일반증류주,22,360,쌀,8500,23.61
421,맑은술 해밀,약주,15,500,"쌀,누룩,정제수",25000,50.0
422,포엠 레드 드라이와인,과실주,12,750,포도,25000,33.33
423,담양죽력고,일반증류주,25,350,"정제수,쌀",13000,37.14
424,감자술 13%,약주,13,700,백미,14000,20.0
425,유기농 이도14,약주,14,750,유기농쌀,20000,26.67
426,풍남문,기타주류,5,1000,보리,27000,27.0
427,독산 53,증류식소주,53,250,쌀,25000,100.0
428,젤코바 스페셜와인,과실주,11.5,375,"국내산산머루,포도",36000,96.0
429,천등산 차례주,청주,11,700,쌀,5900,8.43
430,느낌 19.8,증류식소주,19.8,360,백미,4000,11.11
431,라이스퐁당 13,약주,13,500,찹쌀,15000,30.0
432,연천 연주,약주,12,500,쌀,15000,30.0
433,신선주 약주,약주,16,500,찹쌀,25000,50.0
434,당당하리,과실주,15,375,쌀,16000,42.67
435,계룡백일주 16도_700ml*2,약주,16,700,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",37000,52.86
436,컨츄리 산머루 와인 (드라이),과실주,14,750,국산산머루원액,20000,26.67
437,홍삼 인삼주,일반증류주,38,750,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",70000,93.33
438,톡 쏘는 복분자 막걸리,살균탁주,6,750,"쌀,정제수,쌀입국,복분자원액,효모등",1800,2.4
439,허니비 와인_500ml,기타주류,8,500,국내산벌꿀,35000,70.0
440,샤토미소 스위트,과실주,12,750,"포도,산화방지제,효모,설탕등",20000,26.67
441,미소 아이스,과실주,12,375,"포도,산화방지제,효모등",40000,106.67
442,컨츄리 산머루 와인 (스위트),과실주,12,750,국산산머루원액,20000,26.67
443,소곡화주_480ml,리큐르,41,480,"찹쌀,누룩,백미,정제수",45000,93.75
444,입장탁주_750ml,살균탁주,6,750,"쌀,정제수,고과당,효모등",1200,1.6
445,계룡백일주 30도_400ml*2,리큐르,30,400,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",40000,100.0
446,홍삼명주 375ml,기타주류,14,375,"홍삼추출액,효모,정백당,정제수",12000,32.0
447,청세주,약주,18,375,쌀,4000,10.67
448,다랭이팜 생 막걸리 (백미),탁주,6,750,"쌀,7분도유기농현미,누룩,효모등",4000,5.33
449,여포의 꿈(레드스위트),과실주,12,750,국내산포도,19000,25.33
450,세종 오가닉,살균약주,13,375,"정제수,유기농백미,국,효모,정제효소,구연산",9000,24.0
451,자두와인 화이트_750ml,과실주,12,750,후무사,22000,29.33
452,문희 '문경오미자 수제 전통주',살균탁주,12,700,햇찹쌀,21000,30.0
453,예담은 한산소곡주_750ml,약주,16,750,"찹쌀,멥쌀,누룩,대두,구절초",12000,16.0
454,민속주 안동소주_800ml,증류식소주,45,800,쌀,33500,41.88
455,베베마루 캠벨로제 스위트_375ml,과실주,10,375,포도,20000,53.33
456,은자골 곶감 생 탁배기,탁주,6,750,"백미,소맥분,정제수,곶감분말,전분당,국,누룩,효소,아스파탐등",1500,2.0
457,추사블루_375ml,과실주,12,375,블루베리,20000,53.33
458,다래와인 7004D_750ml,과실주,12,750,참다래,28000,37.33
459,미인탁주,탁주,10,500,"찹쌀,누룩,정제수",15000,30.0
460,고도리 화이트와인 드라이,과실주,10.5,750,거봉포도,22000,29.33
461,계룡백일주 12년_600ml,리큐르,40,600,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",150000,250.0
462,고도리 화이트와인 스위트,과실주,10.5,750,거봉포도,22000,29.33
463,뱅꼬레아이스_375ml,과실주,12,375,양조용포도,90000,240.0
464,소백산 생 만찬주,탁주,6,750,"정제수,쌀,소맥분,입국,효모,아스파탐등",1200,1.6
465,예화_750ml,약주,13,750,"쌀,누룩,효모,물엿,정제수",10000,13.33
466,예주_750ml,과실주,15,750,"복분자,주정,효모,정제수",29000,38.67
467,미생 막걸리,탁주,6,750,"국내산쌀,누룩,효모,정제효소,정제수",1100,1.47
468,술아 매화주,약주,15,375,"국내산찹쌀,누룩,건조매화꽃,증류주,정제수",36000,96.0
469,왕피천을 품은 미소생막걸리,탁주,7,750,"쌀,누룩,정제수",1200,1.6
470,한비 쌀소주,증류식소주,40,375,"국내산쌀,누룩,정제수",30000,80.0
471,천마몽_375ml,리큐르,38,375,"쌀,누룩,효모,천마,정제수",15000,40.0
472,생 청주 막걸리,탁주,6,750,"쌀,소맥분,국,조제종국,효모,물엿등",1500,2.0
473,회곡 생 동동주,탁주,7,1200,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",1300,1.08
474,한비 오가피술,리큐르,35,375,"국내산쌀,누룩,가시오가피뿌리,정제수",30000,80.0
475,오미시앙 스페셜,과실주,12,500,"오미자,주정,설탕,효모",10000,20.0
476,세종 쌀 막걸리,살균탁주,6,750,"정제수,백미,소맥분,전분당,효모,젖산등",1500,2.0
477,추사 로제,과실주,12,375,사과,20000,53.33
478,애피소드 상그리아,과실주,3.5,500,"포도와인,정제주정,정제수,포도농축액,고과당",21000,42.0
479,애피소드 호프,기타주류,3.5,500,"사과과즙,보리,쌀,홉",21000,42.0
480,시인의 마을 우리쌀 막걸리,탁주,10,700,쌀,7900,11.29
481,예밀와인 레드 드라이,과실주,13,750,포도,20000,26.67
482,설하담,탁주,8,950,"국내산멥쌀,개량누룩,정제수,이산화탄소",7400,7.79
483,흑돈주,기타주류,16,365,황칠나무,12000,32.88
484,편백숲 산소막걸리,탁주,5.2,750,"멥쌀,올리고당,사과농축액,누룩,아스파탐",1900,2.53
485,허니문와인,기타주류,10,375,국내산벌꿀,35000,93.33
486,크라테 레드와인 스위트,과실주,11.5,750,산머루,48000,64.0
487,예밀와인 레드 스위트,과실주,12,750,포도,20000,26.67
488,시나브로 레드 드라이,과실주,12,750,포도,25000,33.33
489,해방주 38%,일반증류주,38,800,쌀,45000,56.25
490,정고집 나주배 약주 9%,약주,9,500,"쌀,쌀가루",18000,36.0
491,기다림 34,탁주,12,500,멥쌀,15000,30.0
492,그랑꼬또 M5610,과실주,10,750,포도,56000,74.67
493,해미읍성 매실와인,과실주,12,500,매실,20000,40.0
494,배꽃담은 연 생막걸리,탁주,10,720,"국내산쌀,누룩,효모,젖산,연잎,정제수",20000,27.78
495,기다림 25,탁주,8,750,백미,9900,13.2
496,그랑꼬또 화이트와인,과실주,12,750,포도,40000,53.33
497,기다림 16,탁주,9,750,찹쌀,11000,14.67
498,볼빨간막걸리 7,탁주,7,500,찹쌀,5000,10.0
499,막시모40,일반증류주,40,500,오미자,49000,98.0
500,편백숲 산소막걸리 순수령,탁주,5.8,750,"멥쌀,찹쌀,누룩",4000,5.33
501,천년담주,약주,15,500,백미,10000,20.0
502,청송 얼음골 동동주,탁주,6,1200,쌀,1800,1.5
503,석탄주 탁주,탁주,15,500,"국내산찹쌀,누룩,정제수",6000,12.0
504,경기전,기타주류,5,1000,보리,27000,27.0
505,모월 청,약주,16,500,쌀,21000,42.0
506,해미읍성 살구와인,과실주,12,500,살구,20000,40.0
507,포엠 레드 스위트와인,과실주,12,750,포도,25000,33.33
508,주산지 막걸리,탁주,6,750,쌀,1200,1.6
509,해미읍성 모과와인,과실주,12,500,모과,20000,40.0
510,도로시 머루주,과실주,12,500,"국내산산머루원액,주정",25000,50.0
511,그랑티그르M1988,과실주,12,750,포도,40000,53.33
512,충주 백주,일반증류주,35,375,쌀증류원액,7800,20.8
513,젤코바 프리미엄와인,과실주,12,500,"국내산산머루,포도",50000,100.0
514,산내울 오미자주,리큐르,16,750,"오미자,설탕,주정,정제수,과당",20000,26.67
515,한시울,증류식소주,40,500,"국내산쌀,누룩,효모,구연산,정제수",18000,36.0
516,구기홍주 14,약주,14,360,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",16000,44.44
517,대잎 생동동주,탁주,6,1700,쌀,2500,1.47
518,행운주,청주,12,750,백미,9000,12.0
519,마주 소화곡주,일반증류주,41,500,찹쌀,25000,50.0
520,추시와인,기타주류,12.5,750,감,16000,21.33
521,예천주 사월24,일반증류주,24,375,오미자,22000,58.67
522,방문주 탁주,탁주,15,500,"국내산찹쌀,누룩,정제수",6000,12.0
523,방문주 약주,약주,15,500,"국내산찹쌀,누룩,정제수",7000,14.0
524,시나브로 드 글로리아,과실주,12,750,포도,25000,33.33
525,필 FEEL,증류식소주,40,500,백미,25000,50.0
526,감이슬,일반증류주,23,375,감,10000,26.67
527,그랑티그르CE2002,과실주,12,750,포도,40000,53.33
528,산내울 복분자주,리큐르,16,750,"복분자,설탕,주정,정제수,과당",20000,26.67
529,예천주 사월365,일반증류주,36.5,375,오미자,29000,77.33
530,두유노,탁주,6,600,찹쌀,6000,10.0
531,서주 16%,약주,16,400,백미,45000,112.5
532,바랑 탁,탁주,15,375,찹쌀,18000,48.0
533,연천 아주,탁주,8,750,쌀,6000,8.0
534,머르드 서 드라이,과실주,13.5,750,국내산산머루,35000,46.67
535,호땅,기타주류,6,750,쌀,2700,3.6
536,머르드 서 스위트,과실주,12,750,국내산산머루,30000,40.0
537,신선주 백주,탁주,10,500,청원생명쌀,15000,30.0
538,신선주 증류주,일반증류주,52,375,찹쌀,60000,160.0
539,백이주,과실주,35,800,쌀,30000,37.5
540,"코이버펑크, 샤르도네 세미용 블렌드",과실주,11,750,와이너리재배포도,65000,86.67
541,"코이버펑크, 머스캣 베일리 에이",과실주,12,750,와이너리재배포도,65000,86.67
