,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
353,연천 아주,,3.0,,,4.0,3.0,2.0,
354,연천 연주,,3.0,,,4.0,2.0,2.0,
355,영일만친구 막걸리,,2.0,,,2.0,3.0,2.0,
356,예담은 한산소곡화주,,,,,1.0,1.0,4.0,
357,예밀와인 레드 드라이,,3.0,,,1.0,2.0,1.0,
358,예밀와인 레드 스위트,,3.0,,,1.0,2.0,4.0,
359,예밀와인 로제,,3.0,,,1.0,2.0,4.0,
360,예주,,,,,3.0,1.0,1.0,
361,예화,,,,,1.0,1.0,2.0,
362,옛날 막걸리 古,,,,,2.0,1.0,2.0,
363,오가피와인,,3.0,,,2.0,2.0,3.0,
364,오디랑,,1.0,,,1.0,,3.0,
365,오매백주,,1.0,,,1.0,1.0,5.0,
366,오메기 맑은술,,3.0,,,5.0,1.0,1.0,
367,오메기 술,,,,,2.0,1.0,2.0,
368,오목대,,3.0,,,3.0,4.0,2.0,
369,오미로제 프리미어와인,,4.0,,,4.0,4.0,3.0,
370,오미시앙 스페셜,,2.0,,,3.0,,1.0,
371,오미자 생막걸리,,,,,3.0,2.0,2.0,
372,오산막걸리,,3.0,,,4.0,2.0,2.0,
373,오희 스파클링 막걸리,,2.0,,,3.0,3.0,1.0,
374,왕피천을 품은 미소생막걸리,,2.0,,,3.0,3.0,3.0,
375,우곡생주,,5.0,,,2.0,2.0,4.0,
376,우도 땅콩 전통주,,,,,1.0,3.0,4.0,
377,운암1945,,3.0,,,3.0,,3.0,3.0
378,원조 한산소곡주,,2.0,,,1.0,4.0,3.0,
379,월매 쌀막걸리,,1.0,,,2.0,3.0,2.0,
380,유기농 이도 42,,,,,1.0,1.0,2.0,
381,유기농 이도14,,2.0,,,3.0,3.0,3.0,
382,유자 동동주,,3.0,,,3.0,3.0,2.0,
383,유자 생 막걸리,,,,,3.0,3.0,2.0,
384,율무 동동주,,4.0,,,4.0,3.0,2.0,
385,은자골 곶감 생 탁배기,,,,,1.0,3.0,1.0,
386,은자골 생 탁배기,,,,,3.0,3.0,1.0,
387,이강주 2호,,,,,1.0,2.0,2.0,
388,이강주 375ml,,,,,1.0,2.0,2.0,
389,이강주 특7호,,,,,1.0,2.0,2.0,
390,이동 생 쌀 막걸리,,,,,3.0,3.0,1.0,
391,이동 쌀 막걸리,,,,,1.0,1.0,3.0,
392,이상헌 약주,,3.0,,,3.0,3.0,3.0,
