,상품명,keyword
233,선운산 복분자와인,"['#복분자', '#선운산', '#고창']"
234,선운산 복분자주 프리미엄,"['#복분자주', '#선운산', '#프리미엄', '#고창', '#숙성']"
235,선운산의 아침 복분자막걸리,"['#복분자', '#국내', '#선운']"
236,선호 생막걸리,"['#있는', '#막걸리', '#김포금쌀', '#양조']"
237,설레온,"['#전통', '#대적', '#제품', '#제조']"
238,설련주,"['#연꽃', '#빚은', '#설련주']"
239,설하담,"['#설하담', '#막걸리', '#젊은']"
240,성포 생막걸리,"['#생산', '#막걸리', '#대표', '#제품', '#성포양조장', '#수상', '#미나리']"
241,세우리,"['#있는', '#제주', '#전통']"
242,세종 알밤주,"['#있는', '#막걸리', '#세종', '#양조장']"
243,세종 오가닉,['#양조장']
244,세종대왕어주 약주,['#단맛']
245,세종대왕어주 탁주,['#단맛']
246,소백산 검은콩 막걸리,"['#대강', '#솔잎', '#양조장', '#검은']"
247,소백산 생 막걸리,"['#대강', '#솔잎', '#양조장', '#막걸리']"
248,소백산 생 만찬주,"['#솔잎', '#양조장']"
249,소백산 청 동동주,"['#대강', '#솔잎', '#양조장', '#막걸리']"
250,소양강 생 막걸리,"['#있는', '#막걸리', '#양조장']"
251,솔송주,"['#명가원', '#양조장', '#술을']"
252,송명섭 막걸리,['#송명섭']
253,송이주,"['#버섯', '#내국', '#송이']"
254,송화백일주,"['#송백일주', '#수왕사', '#솔잎']"
255,순향주,"['#오양주', '#빚는', '#단맛', '#제조', '#마시']"
256,술공방 9.0 생막걸리,['#술을']
257,술그리다 생탁주,"['#생탁주', '#삼양주', '#빚는']"
258,술아 국화주,"['#과하주', '#술아', '#여름']"
259,술아 막걸리,"['#막걸리', '#맛을']"
260,술아 매화주,"['#과하주', '#술아', '#술이', '#여름']"
261,술아 순곡주,"['#과하주', '#술아', '#여름']"
262,술아 연화주,"['#과하주', '#술아', '#여름']"
263,술예쁘다 생탁주,"['#생탁주', '#삼양주', '#빚는']"
264,술취한 원숭이,"['#국쌀', '#원숭이', '#붉은색']"
265,술헤는밤,"['#좋은', '#떼루아', '#두루', '#누룩', '#만들']"
266,시나브로 드 글로리아,"['#와인', '#와이너리', '#포도', '#이름', '#한국와인', '#수상']"
267,시나브로 레드 드라이,"['#와인', '#포도', '#와이너리', '#수상', '#드라이', '#한국와인']"
268,시나브로 레드 스위트,"['#와인', '#와이너리', '#포도', '#수상', '#한국와인']"
269,시나브로 로제와인,"['#와인', '#와이너리', '#로제', '#수상', '#포도', '#한국와인']"
270,시나브로 에뚜왈 로제 스파클링,"['#와인', '#와이너리', '#로제', '#수상', '#포도']"
271,시나브로 에뚜왈 스파클링와인,"['#와인', '#포도', '#수상']"
272,시나브로 화이트와인,"['#와인', '#와이너리', '#수상', '#포도']"
273,시인의 마을 우리쌀 막걸리,"['#양조장', '#막걸리', '#지역', '#생산하고', '#술을', '#옥천', '#이원양']"
274,신례명주,"['#제주', '#감귤', '#시트러스', '#제품', '#신례']"
275,신선주 백주,['#신선주']
276,신선주 약주,['#신선주']
277,신선주 증류주,['#신선주']
278,신선주,"['#전통주', '#양조장', '#약재', '#신선주', '#오래']"
279,심플리 애플,['#사과']
280,아이싱 자몽,
281,아이원 막걸리,"['#막걸리', '#양조장', '#지역', '#맛을', '#생산하고', '#술을', '#옥천']"
282,안동소주 일품 17도,"['#제품', '#안동소', '#소주', '#제조']"
283,안동소주 일품 21도,"['#제품', '#안동소', '#소주', '#제조']"
284,안동소주 일품 40도 골드,"['#안동소', '#소주']"
285,안성마춤 생막걸리,"['#막걸리', '#안성마춤']"
286,안양 동동주,"['#찹쌀', '#막걸리', '#안양주조', '#양조장']"
287,애석,"['#석탄주', '#좋은', '#떼루아', '#애석', '#누룩']"
288,애피소드 상그리아,"['#상그리아', '#제품', '#사과', '#와인']"
289,애피소드 애플,"['#애플', '#사과']"
290,애피소드 호프,"['#사과', '#제품']"
291,야관문 쌀 막걸리,"['#지리산', '#막걸리', '#운봉주조', '#수상']"
292,양촌 생 동동주,"['#양조장', '#사용하']"
293,양촌 생 막걸리,"['#양조장', '#막걸리']"
294,어우야,['#제주']
295,여강,"['#오양주', '#빚는', '#술을', '#제품', '#증류', '#제조']"
296,여포의 꿈 레드 (Dry),"['#와인', '#여포농장', '#포도']"
297,여포의 꿈 레드(SWEET),"['#와인', '#여포농장', '#포도']"
298,여포의 꿈 (화이트),"['#와인', '#여포농장', '#포도', '#한국']"
299,연천 아주,"['#연천', '#누룩', '#막걸리', '#양조', '#술이']"
